GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
employee-management,com.emp.management.controller,ResourceController,48,0,0,0,10,0,5,0,5,0
employee-management,com.emp.management.controller,AuthController,0,50,1,1,0,12,1,7,0,7
employee-management,com.emp.management.controller,TimesheetController,118,0,0,0,19,0,15,0,15,0
employee-management,com.emp.management.controller,AnnouncementController,27,0,0,0,6,0,4,0,4,0
employee-management,com.emp.management.controller,CertificateController,0,51,0,0,0,10,0,4,0,4
employee-management,com.emp.management.controller,LeaveUploadController,90,0,2,0,22,0,6,0,5,0
employee-management,com.emp.management.controller,EmployeeController,19,71,1,3,4,13,4,10,3,9
employee-management,com.emp.management.controller,ResumeController,26,0,2,0,8,0,3,0,2,0
employee-management,com.emp.management.controller,CourseController,227,0,22,0,41,0,28,0,17,0
employee-management,com.emp.management.controller,PerformanceController,47,0,2,0,7,0,7,0,6,0
employee-management,com.emp.management.controller,LeaveController,73,0,0,0,12,0,9,0,9,0
employee-management,com.emp.management.controller,DashboardController,11,0,0,0,2,0,2,0,2,0
employee-management,com.emp.management.service,CourseService.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
employee-management,com.emp.management.service,CourseService.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
employee-management,com.emp.management.service,CourseService.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
employee-management,com.emp.management.service,CourseService.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
employee-management,com.emp.management.service,EmailService,205,4,8,0,53,1,9,1,5,1
employee-management,com.emp.management.service,ResumeService,621,0,88,0,110,0,59,0,15,0
employee-management,com.emp.management.service,LeaveUploadService,601,0,53,0,115,0,34,0,7,0
employee-management,com.emp.management.service,TimesheetService,715,4,58,0,154,1,58,1,29,1
employee-management,com.emp.management.service,EmployeeService,285,803,71,59,45,200,58,30,7,16
employee-management,com.emp.management.service,CourseService,1132,0,84,0,219,0,87,0,45,0
employee-management,com.emp.management.service,DashboardService,73,0,4,0,12,0,4,0,2,0
employee-management,com.emp.management.service,LeaveService,162,438,12,24,30,111,14,22,5,13
employee-management,com.emp.management.service,AuthService,11,362,3,11,0,88,4,17,1,13
employee-management,com.emp.management.service,ResourceStorageService,180,0,2,0,39,0,10,0,9,0
employee-management,com.emp.management.service,TimesheetEntryService,241,0,22,0,46,0,21,0,10,0
employee-management,com.emp.management.service,CertificatePdfService,1,1117,0,6,0,140,0,11,0,8
employee-management,com.emp.management.service,CertificateService,0,94,0,6,0,20,0,8,0,5
employee-management,com.emp.management.service,AIQuizService,1613,0,140,0,232,0,101,0,31,0
employee-management,com.emp.management.service,PerformanceService,165,0,4,0,39,0,11,0,9,0
employee-management,com.emp.management.service,AnnouncementService,77,0,2,0,21,0,6,0,5,0
employee-management,com.emp.management,EmployeeManagementApplication,5,3,0,0,2,1,1,1,1,1
employee-management,com.emp.management.exception,GlobalExceptionHandler.ErrorResponse,0,12,0,0,0,1,0,1,0,1
employee-management,com.emp.management.exception,ResourceNotFoundException,0,10,0,0,0,4,0,2,0,2
employee-management,com.emp.management.exception,GlobalExceptionHandler,15,92,0,0,3,19,3,9,3,9
employee-management,com.emp.management.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
employee-management,com.emp.management.entity,Resource.ResourceBuilder,90,0,0,0,1,0,12,0,12,0
employee-management,com.emp.management.entity,Enrollment.EnrollmentBuilder,82,0,2,0,1,0,11,0,10,0
employee-management,com.emp.management.entity,Leave.LeaveBuilder,48,79,1,1,0,1,6,10,5,10
employee-management,com.emp.management.entity,AttendanceSession,310,0,54,0,11,0,48,0,21,0
employee-management,com.emp.management.entity,Leave,405,92,86,0,2,14,58,17,15,17
employee-management,com.emp.management.entity,Resource,396,0,70,0,13,0,60,0,25,0
employee-management,com.emp.management.entity,Timesheet,413,0,70,0,14,0,62,0,27,0
employee-management,com.emp.management.entity,User.UserBuilder,56,62,1,1,0,1,8,7,7,7
employee-management,com.emp.management.entity,TimesheetEntry,322,31,62,0,10,2,52,2,21,2
employee-management,com.emp.management.entity,AttendanceSession.AttendanceSessionBuilder,72,0,0,0,1,0,10,0,10,0
employee-management,com.emp.management.entity,Role,0,33,0,0,0,6,0,1,0,1
